,ligand,receptor,ligand.name,receptor.name,ligand.synonyms,receptor.synonyms,ligand.altern.names,receptor.altern.names,source,PMIDs,cells.L,cells.R,remarks,Pair.Name,DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor,Pair.Evidence
33,ADAM9,ITGAV,Disintegrin and metalloproteinase domain-containing protein 9,Integrin alpha-V,"KIAA0021,MCMP,MDC9,MLTNG","MSK8,VNRA,VTNR",ADAM 9 || EC 3.4.24.- || Cellular disintegrin-related protein || Meltrin-gamma || Metalloprotease/disintegrin/cysteine-rich protein 9 || Myeloma cell metalloproteinase,Vitronectin receptor || Vitronectin receptor subunit alpha || CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain,"HPRD,HPMR,fantom5","11162558,15",,,,ADAM9_ITGAV,,,,,,,,,
34,ADAM9,ITGB1,Disintegrin and metalloproteinase domain-containing protein 9,Integrin beta-1,"KIAA0021,MCMP,MDC9,MLTNG","FNRB,MDF2,MSK12",ADAM 9 || EC 3.4.24.- || Cellular disintegrin-related protein || Meltrin-gamma || Metalloprotease/disintegrin/cysteine-rich protein 9 || Myeloma cell metalloproteinase,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,"fantom5,HPMR",10825303,,,,ADAM9_ITGB1,,,,,,,,,
35,ADAM9,ITGB5,Disintegrin and metalloproteinase domain-containing protein 9,Integrin beta-5,"KIAA0021,MCMP,MDC9,MLTNG",,ADAM 9 || EC 3.4.24.- || Cellular disintegrin-related protein || Meltrin-gamma || Metalloprotease/disintegrin/cysteine-rich protein 9 || Myeloma cell metalloproteinase,,"HPMR,fantom5",11162558,,,,ADAM9_ITGB5,,,,,,,,,
36,ADCYAP1,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide,Pituitary adenylate cyclase-activating polypeptide type I receptor,,,PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38),PACAP type I receptor || PACAP-R-1 || PACAP-R1,"HPRD,reactome,fantom5,IUPHAR,HPMR","10100920,8703026,10583729,16930633,11931347,8253796",,,,ADCYAP1_ADCYAP1R1,,,,,,,,,
39,ADCYAP1,GPR20,Pituitary adenylate cyclase-activating polypeptide,G-protein coupled receptor 20,,,PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38),,reactome,,,,,ADCYAP1_GPR20,,,,,,,,,
40,ADCYAP1,GPR84,Pituitary adenylate cyclase-activating polypeptide,G-protein coupled receptor 84,,EX33,PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38),Inflammation-related G-protein coupled receptor EX33,reactome,,,,,ADCYAP1_GPR84,,,,,,,,,
42,ADCYAP1,RAMP2,Pituitary adenylate cyclase-activating polypeptide,Receptor activity-modifying protein 2,,,PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38),Calcitonin-receptor-like receptor activity-modifying protein 2 || CRLR activity-modifying protein 2,reactome,,,,,ADCYAP1_RAMP2,,,,,,,,,
43,ADCYAP1,RAMP3,Pituitary adenylate cyclase-activating polypeptide,Receptor activity-modifying protein 3,,,PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38),Calcitonin-receptor-like receptor activity-modifying protein 3 || CRLR activity-modifying protein 3,reactome,,,,,ADCYAP1_RAMP3,,,,,,,,,
44,ADCYAP1,SCTR,Pituitary adenylate cyclase-activating polypeptide,Secretin receptor,,,PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38),SCT-R,"HPRD,fantom5",1335692,,,,ADCYAP1_SCTR,,,,,,,,,
45,ADCYAP1,TSHR,Pituitary adenylate cyclase-activating polypeptide,Thyrotropin receptor,,LGR3,PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38),Thyroid-stimulating hormone receptor || TSH-R,reactome,,,,,ADCYAP1_TSHR,,,,,,,,,
46,ADCYAP1,VIPR1,Pituitary adenylate cyclase-activating polypeptide,Vasoactive intestinal polypeptide receptor 1,,,PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38),VIP-R-1 || Pituitary adenylate cyclase-activating polypeptide type II receptor || PACAP type II receptor || PACAP-R-2 || PACAP-R2 || VPAC1,"reactome,HPRD,HPMR,IUPHAR,fantom5","11897681,9928018,11931347,16930633,8791009,12429744",,,,ADCYAP1_VIPR1,,,,,,,,,
47,ADCYAP1,VIPR2,Pituitary adenylate cyclase-activating polypeptide,Vasoactive intestinal polypeptide receptor 2,,VIP2R,PACAP) [Cleaved into: PACAP-related peptid || PRP-48); Pituitary adenylate cyclase-activating polypeptide 2 || PACAP-27 || PACAP27); Pituitary adenylate cyclase-activating polypeptide 3 || PACAP-38 || PACAP38),VIP-R-2 || Helodermin-preferring VIP receptor || Pituitary adenylate cyclase-activating polypeptide type III receptor || PACAP type III receptor || PACAP-R-3 || PACAP-R3 || VPAC2,"HPRD,fantom5,IUPHAR","16930633,11978642,9928018,11931347,8146174",,,,ADCYAP1_VIPR2,,,,,,,,,
48,ADIPOQ,ADIPOR1,Adiponectin,Adiponectin receptor protein 1,"ACDC,ACRP30,APM1,GBP28","PAQR1,TESBP1A,CGI-45","30 kDa adipocyte complement-related protein || Adipocyte complement-related 30 kDa protein || ACRP30 || Adipocyte, C1q and collagen domain-containing protein || Adipose most abundant gene transcript 1 protein || apM-1 || Gelatin-binding protein",Progestin and adipoQ receptor family member 1 || Progestin and adipoQ receptor family member I,"HPMR,fantom5",12802337,,,,ADIPOQ_ADIPOR1,,,,,,,,,
49,ADIPOQ,ADIPOR2,Adiponectin,Adiponectin receptor protein 2,"ACDC,ACRP30,APM1,GBP28",PAQR2,"30 kDa adipocyte complement-related protein || Adipocyte complement-related 30 kDa protein || ACRP30 || Adipocyte, C1q and collagen domain-containing protein || Adipose most abundant gene transcript 1 protein || apM-1 || Gelatin-binding protein",Progestin and adipoQ receptor family member 2 || Progestin and adipoQ receptor family member II,"HPRD,fantom5,HPMR",12802337,,,,ADIPOQ_ADIPOR2,,,,,,,,,
50,ADM2,ADCYAP1R1,Adrenomedullin 2,Pituitary adenylate cyclase-activating polypeptide type I receptor,AM2,,Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS),PACAP type I receptor || PACAP-R-1 || PACAP-R1,reactome,,,,,ADM2_ADCYAP1R1,,,,,,,,,
51,ADM2,ADRB2,Adrenomedullin 2,Beta-2 adrenergic receptor,AM2,"ADRB2R,B2AR",Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS),Beta-2 adrenoreceptor || Beta-2 adrenoceptor,reactome,,,,,ADM2_ADRB2,,,,,,,,,
52,ADM2,ADRB3,Adrenomedullin 2,Beta-3 adrenergic receptor,AM2,"ADRB3R,B3AR",Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS),Beta-3 adrenoreceptor || Beta-3 adrenoceptor,reactome,,,,,ADM2_ADRB3,,,,,,,,,
54,ADM2,CALCRL,Adrenomedullin 2,Calcitonin gene-related peptide type 1 receptor,AM2,CGRPR,Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS),CGRP type 1 receptor || Calcitonin receptor-like receptor,"fantom5,HPMR",14615490,,,,ADM2_CALCRL,,,,,,,,,
55,ADM2,GPR20,Adrenomedullin 2,G-protein coupled receptor 20,AM2,,Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS),,reactome,,,,,ADM2_GPR20,,,,,,,,,
56,ADM2,GPR84,Adrenomedullin 2,G-protein coupled receptor 84,AM2,EX33,Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS),Inflammation-related G-protein coupled receptor EX33,reactome,,,,,ADM2_GPR84,,,,,,,,,
57,ADM2,PTH1R,Adrenomedullin 2,Parathyroid hormone/parathyroid hormone-related peptide receptor,AM2,"PTHR,PTHR1",Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS),PTH/PTHrP type I receptor || PTH/PTHr receptor || Parathyroid hormone 1 receptor || PTH1 receptor,reactome,,,,,ADM2_PTH1R,,,,,,,,,
58,ADM2,RAMP1,Adrenomedullin 2,Receptor activity-modifying protein 1,AM2,,Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS),Calcitonin-receptor-like receptor activity-modifying protein 1 || CRLR activity-modifying protein 1,"HPMR,fantom5",12684503,,,,ADM2_RAMP1,,,,,,,,,
59,ADM2,RAMP2,Adrenomedullin 2,Receptor activity-modifying protein 2,AM2,,Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS),Calcitonin-receptor-like receptor activity-modifying protein 2 || CRLR activity-modifying protein 2,reactome,,,,,ADM2_RAMP2,,,,,,,,,
60,ADM2,RAMP3,Adrenomedullin 2,Receptor activity-modifying protein 3,AM2,,Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS),Calcitonin-receptor-like receptor activity-modifying protein 3 || CRLR activity-modifying protein 3,reactome,,,,,ADM2_RAMP3,,,,,,,,,
61,ADM2,TSHR,Adrenomedullin 2,Thyrotropin receptor,AM2,LGR3,Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS),Thyroid-stimulating hormone receptor || TSH-R,reactome,,,,,ADM2_TSHR,,,,,,,,,
62,ADM2,VIPR1,Adrenomedullin 2,Vasoactive intestinal polypeptide receptor 1,AM2,,Intermedin) [Cleaved into: Adrenomedullin- || AM2 || Intermedin-long || IMDL); Intermedin-shor || IMDS),VIP-R-1 || Pituitary adenylate cyclase-activating polypeptide type II receptor || PACAP type II receptor || PACAP-R-2 || PACAP-R2 || VPAC1,reactome,,,,,ADM2_VIPR1,,,,,,,,,
63,ADM,ADCYAP1R1,ADM [Cleaved into: Adrenomedullin,Pituitary adenylate cyclase-activating polypeptide type I receptor,AM,,AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20),PACAP type I receptor || PACAP-R-1 || PACAP-R1,reactome,,,,,ADM_ADCYAP1R1,,,,,,,,,
64,ADM,ADRB2,ADM [Cleaved into: Adrenomedullin,Beta-2 adrenergic receptor,AM,"ADRB2R,B2AR",AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20),Beta-2 adrenoreceptor || Beta-2 adrenoceptor,reactome,,,,,ADM_ADRB2,,,,,,,,,
65,ADM,ADRB3,ADM [Cleaved into: Adrenomedullin,Beta-3 adrenergic receptor,AM,"ADRB3R,B3AR",AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20),Beta-3 adrenoreceptor || Beta-3 adrenoceptor,reactome,,,,,ADM_ADRB3,,,,,,,,,
66,ADM,CALCR,ADM [Cleaved into: Adrenomedullin,Calcitonin receptor,AM,,AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20),CT-R,"IUPHAR,fantom5","15692146,13",,,,ADM_CALCR,,,,,,,,,
67,ADM,CALCRL,ADM [Cleaved into: Adrenomedullin,Calcitonin gene-related peptide type 1 receptor,AM,CGRPR,AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20),CGRP type 1 receptor || Calcitonin receptor-like receptor,"HPMR,fantom5,HPRD",9620797,,,,ADM_CALCRL,,,,,,,,,
68,ADM,GPR182,ADM [Cleaved into: Adrenomedullin,G-protein coupled receptor 182,AM,ADMR,AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20),,"fantom5,HPMR",7592696,,,,ADM_GPR182,,,,,,,,,
71,ADM,MRGPRX2,ADM [Cleaved into: Adrenomedullin,Mas-related G-protein coupled receptor member X2,AM,MRGX2,AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20),,"HPMR,IUPHAR,fantom5","16111673,16",,,,ADM_MRGPRX2,,,,,,,,,
72,ADM,PTH1R,ADM [Cleaved into: Adrenomedullin,Parathyroid hormone/parathyroid hormone-related peptide receptor,AM,"PTHR,PTHR1",AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20),PTH/PTHrP type I receptor || PTH/PTHr receptor || Parathyroid hormone 1 receptor || PTH1 receptor,reactome,,,,,ADM_PTH1R,,,,,,,,,
73,ADM,RAMP2,ADM [Cleaved into: Adrenomedullin,Receptor activity-modifying protein 2,AM,,AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20),Calcitonin-receptor-like receptor activity-modifying protein 2 || CRLR activity-modifying protein 2,"HPMR,fantom5,reactome",9620797,,,,ADM_RAMP2,,,,,,,,,
74,ADM,RAMP3,ADM [Cleaved into: Adrenomedullin,Receptor activity-modifying protein 3,AM,,AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20),Calcitonin-receptor-like receptor activity-modifying protein 3 || CRLR activity-modifying protein 3,reactome,,,,,ADM_RAMP3,,,,,,,,,
75,ADM,TSHR,ADM [Cleaved into: Adrenomedullin,Thyrotropin receptor,AM,LGR3,AM); Proadrenomedullin N-20 terminal peptid || ProAM N-terminal 20 peptide || PAMP || ProAM-N20),Thyroid-stimulating hormone receptor || TSH-R,reactome,,,,,ADM_TSHR,,,,,,,,,
